Semester;Hochschule;Deutsche Männlich;Deutsche Weiblich;Deutsche Insgesamt;Ausländer Männlich;Ausländer Weiblich;Ausländer Insgesamt;Männlich Insgesamt;Weiblich Insgesamt;Insgesamt
WS 1998/99;FH Kˆln in Gummersbach;131;20;151;24;6;30;155;26;181
WS 1999/00;FH Kˆln in Gummersbach;243;39;282;35;13;48;278;52;330
WS 2000/01;FH Kˆln in Gummersbach;360;54;414;68;17;85;428;71;499
WS 2001/02;FH Kˆln in Gummersbach;390;60;450;69;14;83;459;74;533
WS 2002/03;FH Kˆln in Gummersbach;315;62;377;43;10;53;358;72;430
WS 2003/04;FH Kˆln in Gummersbach;335;44;379;50;19;69;385;63;448
WS 2004/05;FH Kˆln in Gummersbach;301;37;338;44;22;66;345;59;404
WS 2005/06;FH Kˆln in Gummersbach;307;45;352;40;10;50;347;55;402
WS 2006/07;FH Kˆln in Gummersbach;290;41;331;49;15;64;339;56;395
WS 2007/08;FH Kˆln in Gummersbach;329;38;367;38;20;58;367;58;425
WS 2008/09;FH Kˆln in Gummersbach;369;66;435;67;20;87;436;86;522
WS 2009/10;FH Kˆln in Gummersbach;235;42;277;30;21;51;265;63;328
WS 2010/11;FH Kˆln in Gummersbach;352;47;399;60;40;100;412;87;499
WS 2011/12;FH Kˆln in Gummersbach;513;85;598;63;45;108;576;130;706
WS 2012/13;FH Kˆln in Gummersbach;521;93;614;86;47;133;607;140;747
WS 2013/14;FH Kˆln in Gummersbach;520;105;625;95;42;137;615;147;762